XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH,TIME
7.4437474,3.8939585,0,1,1,105.7,62
7.4437474,3.8939585,0,5,9,62,30
7.4437474,3.8939585,0,6,10,10,33
7.4437474,3.8939585,0,7,11,99,43
7.4437474,3.8939585,0,8,13,40,26
7.445483,3.8934417,1,0,2,105.7,62
7.445483,3.8934417,1,2,4,120,67
7.445483,3.8934417,1,3,5,22,20
7.445483,3.8934417,1,4,6,40,31
7.445483,3.8934417,1,5,9,130,60
7.445189,3.892902,2,1,5,120,67
7.445189,3.892902,2,3,3,50,47
7.4453516,3.8931595,3,1,6,22,20
7.4453516,3.8931595,3,2,3,50,47
7.4449733,3.8932064,4,1,6,40,31
7.4449733,3.8932064,4,5,7,34,29
7.4449733,3.8932064,4,7,12,43,39
7.4446999,3.8933533,5,0,9,62,30
7.4446999,3.8933533,5,1,8,130,60
7.4446999,3.8933533,5,4,7,34,29
7.4442368,3.8933347,6,0,10,10,33
7.4460407,3.8938002,7,0,11,99,43
7.4460407,3.8938002,7,4,12,43,39
7.4452255,3.89315,8,0,13,40,26
7.4452255,3.89315,8,9,14,20,20
7.4440986,3.89331,9,8,14,20,20
7.4440986,3.89331,9,10,15,5,10
7.4437077,3.8939759,10,9,15,5,10
7.4437077,3.8939759,10,11,16,40,30
7.4438522,3.8939615,11,10,16,40,30
7.4438522,3.8939615,11,12,17,50,57
7.4434658,3.8942043,12,11,18,50,57
7.4434658,3.8942043,12,13,19,148,90
7.4434658,3.8942043,12,14,21,225,190
7.4434658,3.8942043,12,15,23,260,265
7.4421966,3.8938125,13,12,19,148,90
7.4421966,3.8938125,13,14,20,95,120
7.4421966,3.8938125,13,15,24,187,165
7.441343,3.8937658,14,12,21,225,190
7.441343,3.8937658,14,13,20,95,120
7.441343,3.8937658,14,15,22,39,75
7.4409143,3.8938804,15,12,23,260,265
7.4409143,3.8938804,15,13,24,187,165
7.4409143,3.8938804,15,14,22,39,75
7.4409143,3.8938804,15,16,25,212,250
7.4406997,3.895902,16,15,25,212,250
7.4406997,3.895902,16,17,26,83,100
7.4411245,3.8964854,17,16,26,83,100
7.4411245,3.8964854,17,18,27,56,50
7.4406696,3.8967136,18,17,27,56,50
7.4406696,3.8967136,18,19,28,44,43
7.4402738,3.8967948,19,18,28,44,43
7.4402738,3.8967948,19,20,29,54,50
7.4399052,3.8964744,20,19,29,54,50
7.4399052,3.8964744,20,21,30,60,55
7.439638,3.8971077,21,20,30,60,55
7.439638,3.8971077,21,22,31,25,20
7.4392691,3.8978837,22,21,31,25,20
