XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH,TIME,NAME,LOCAL_NAME,IMAGE,
7.4437474,3.8939585,0,1,1,105.7,62,Faculty of Science,FASSA,https://res.cloudinary.com/meme-chat/image/upload/v1582525590/fy-project/fassa_building.jpg,
7.4437474,3.8939585,0,5,9,62,30,Faculty of Science,FASSA,https://res.cloudinary.com/meme-chat/image/upload/v1582525590/fy-project/fassa_building.jpg,
7.4437474,3.8939585,0,6,10,10,33,Faculty of Science,FASSA,https://res.cloudinary.com/meme-chat/image/upload/v1582525590/fy-project/fassa_building.jpg,
7.4437474,3.8939585,0,7,11,99,43,Faculty of Science,FASSA,https://res.cloudinary.com/meme-chat/image/upload/v1582525590/fy-project/fassa_building.jpg,
7.4437474,3.8939585,0,8,13,40,26,Faculty of Science,FASSA,https://res.cloudinary.com/meme-chat/image/upload/v1582525590/fy-project/fassa_building.jpg,
7.445483,3.8934417,1,0,2,105.7,62,Computer Science Department,CSC Department,https://res.cloudinary.com/meme-chat/image/upload/v1582525518/fy-project/computer_science_department.jpg,
7.445483,3.8934417,1,2,4,120,67,Computer Science Department,CSC Department,https://res.cloudinary.com/meme-chat/image/upload/v1582525518/fy-project/computer_science_department.jpg,
7.445483,3.8934417,1,3,5,22,20,Computer Science Department,CSC Department,https://res.cloudinary.com/meme-chat/image/upload/v1582525518/fy-project/computer_science_department.jpg,
7.445483,3.8934417,1,4,6,40,31,Computer Science Department,CSC Department,https://res.cloudinary.com/meme-chat/image/upload/v1582525518/fy-project/computer_science_department.jpg,
7.445483,3.8934417,1,5,9,130,60,Computer Science Department,CSC Department,https://res.cloudinary.com/meme-chat/image/upload/v1582525518/fy-project/computer_science_department.jpg,
7.445189,3.892902,2,1,5,120,67,Computer Science Lecture Theatre,CLT,,
7.445189,3.892902,2,3,3,50,47,Computer Science Lecture Theatre,CLT,,
7.4453516,3.8931595,3,1,6,22,20,Kola Daisi Lecture Theatre,KDLT,,
7.4453516,3.8931595,3,2,3,50,47,Kola Daisi Lecture Theatre,KDLT,,
7.4449733,3.8932064,4,1,6,40,31,Technology and Research Department,TRD,https://res.cloudinary.com/meme-chat/image/upload/v1582525517/fy-project/trd_building.jpg,
7.4449733,3.8932064,4,5,7,34,29,Technology and Research Department,TRD,https://res.cloudinary.com/meme-chat/image/upload/v1582525517/fy-project/trd_building.jpg,
